Company,Role,Date Applied,Status,Source,Location,Next Step
Erste Group,Machine Learning Intern,2026-04-28,Rejected,LinkedIn,Salzburg,Archive application
Magna,Analytics Trainee,2026-04-25,Offer,Company Website,Graz,Compare with other applications
Infineon,Product Data Analyst,2026-04-25,Screening,Indeed,Salzburg,Send availability
Erste Group,Business Intelligence Analyst,2026-04-24,Rejected,Company Website,Graz,No action needed
Bitpanda,Junior Data Scientist,2026-04-22,Rejected,LinkedIn,Hybrid - Graz,Archive application
University of Graz,Analytics Trainee,2026-04-22,Rejected,StepStone,Linz,—
ams OSRAM,Business Intelligence Analyst,2026-04-20,Interview,Company Website,Graz,Prepare project examples
Joanneum Research,Machine Learning Intern,2026-04-19,Screening,Company Website,Vienna,Recruiter Follow-up
Andritz,Visualization Developer,2026-04-19,Interview,LinkedIn,Villach,Prepare project examples
Infineon,Junior Data Scientist,2026-04-16,Applied,Other,Linz,Waiting for recruiter response
BMW Group,Product Data Analyst,2026-04-15,Applied,Referral,Villach,Check career portal next week
OMV,Working Student AI,2026-04-15,Interview,Company Website,Salzburg,Onsite interview preparation
Bosch,Junior Data Scientist,2026-04-14,Applied,Email,Villach,Awaiting response
Infineon,Data Analyst,2026-04-11,Interview,LinkedIn,Berlin,Prepare project examples
Kapsch,Visualization Developer,2026-04-11,Rejected,LinkedIn,Klagenfurt,No action needed
Siemens,Business Intelligence Analyst,2026-04-07,Rejected,StepStone,Munich,Archive application
AVL,Database Engineer BI,2026-04-05,Applied,Glassdoor,Salzburg,Check career portal next week
Booking.com,Visualization Developer,2026-04-03,Applied,Company Website,Linz,No next step yet
Accenture,Database Engineer BI,2026-04-02,Applied,Company Website,Salzburg,Awaiting response
Nuki,Machine Learning Intern,2026-03-30,Applied,Referral,Remote,Awaiting response
Mercedes-Benz,Python Developer Intern,2026-03-28,Applied,Glassdoor,Klagenfurt,Waiting for recruiter response
Erste Group,Database Engineer BI,2026-03-27,Applied,LinkedIn,Munich,Waiting for recruiter response
IKEA,Machine Learning Intern,2026-03-20,Applied,StepStone,Munich,No next step yet
KNAPP,Data Analyst,2026-03-20,Rejected,Referral,Vienna,Review rejection reason
University of Graz,Working Student AI,2026-03-20,Applied,Company Website,Remote,No next step yet
Runtastic,Product Data Analyst,2026-03-19,Phone Screen,LinkedIn,Salzburg,Send documents before call
Microsoft,Operations Analyst,2026-03-10,Applied,Referral,Klagenfurt,Check career portal next week
Andritz,Product Data Analyst,2026-03-05,Screening,LinkedIn,Villach,HR screening scheduled
Erste Group,Analytics Trainee,2026-02-28,Applied,Glassdoor,Linz,Waiting for recruiter response
Tietoevry,Research Assistant Data Science,2026-02-27,Screening,LinkedIn,Remote,HR screening scheduled
KNAPP,Reporting Analyst,2026-02-26,Phone Screen,LinkedIn,Berlin,Prepare short intro
AVL,Machine Learning Intern,2026-02-23,Rejected,LinkedIn,Berlin,—
Capgemini,Data Analyst,2026-02-23,Applied,Company Website,Klagenfurt,Awaiting response
OMV,Data Engineering Intern,2026-02-20,Applied,LinkedIn,Graz,Check career portal next week
IKEA,Data Engineering Intern,2026-02-17,Applied,Company Website,Graz,Awaiting response
Adidas,Data Engineering Intern,2026-02-17,Interview,Email,Berlin,Technical interview scheduled
Microsoft,Data Analyst,2026-02-15,Applied,LinkedIn,Hybrid - Graz,Awaiting response
OMV,Business Intelligence Analyst,2026-02-14,Interview,LinkedIn,Munich,Onsite interview preparation
Deloitte,Research Assistant Data Science,2026-02-08,Applied,Other,Villach,Send follow-up email
Raiffeisen Bank,Machine Learning Intern,2026-02-07,Phone Screen,Company Website,Villach,Prepare short intro
Raiffeisen Bank,Research Assistant Data Science,2026-02-05,Applied,Email,Berlin,Check career portal next week
Frequentis,Junior Data Scientist,2026-02-03,Applied,Email,Remote,Check career portal next week
ams OSRAM,Database Engineer BI,2026-02-02,Applied,LinkedIn,Munich,Check career portal next week
BearingPoint,Product Data Analyst,2026-01-28,Applied,LinkedIn,Munich,Waiting for recruiter response
Mercedes-Benz,Data Analyst,2026-01-25,Applied,Referral,Salzburg,Waiting for recruiter response
Red Bull,Product Data Analyst,2026-01-23,Applied,LinkedIn,Berlin,Check career portal next week
BMW Group,Visualization Developer,2026-01-22,Phone Screen,Indeed,Villach,Prepare short intro
Microsoft,Python Developer Intern,2026-01-20,Applied,StepStone,Munich,No next step yet
Tractive,Data Engineering Intern,2026-01-18,Screening,LinkedIn,Linz,Waiting for HR feedback
SAP,Machine Learning Intern,2026-01-16,Phone Screen,Company Website,Linz,Waiting for phone screen feedback
ams OSRAM,Reporting Analyst,2026-01-16,Applied,LinkedIn,Graz,No next step yet
Nuki,Working Student AI,2026-01-12,Screening,LinkedIn,Remote,HR screening scheduled
Delivery Hero,Working Student AI,2026-01-11,Rejected,Referral,Berlin,No action needed
Raiffeisen Bank,Operations Analyst,2026-01-11,Rejected,LinkedIn,Graz,Update CV for similar roles
Frequentis,Data Analyst,2026-01-07,Applied,Other,Villach,Send follow-up email
University of Graz,Data Analyst,2026-01-07,Rejected,LinkedIn,Graz,Update CV for similar roles
AVL,Working Student AI,2026-01-06,Applied,Company Website,Hybrid - Graz,Waiting for recruiter response
Sportradar,Data Analyst,2026-01-05,Applied,LinkedIn,Klagenfurt,Send follow-up email
Dedalus,Operations Analyst,2026-01-03,Screening,LinkedIn,Linz,Recruiter Follow-up
Anton Paar,Database Engineer BI,2026-01-01,Applied,Other,Villach,Waiting for recruiter response
Accenture,Data Analyst,2025-12-31,Interview,Referral,Graz,Prepare project examples
Bühler,Database Engineer BI,2025-12-30,Screening,Company Website,Graz,Recruiter Follow-up
Joanneum Research,Data Science Intern,2025-12-30,Applied,Company Website,Munich,No next step yet
Mercedes-Benz,Research Assistant Data Science,2025-12-27,Applied,Company Website,Berlin,Awaiting response
Raiffeisen Bank,Data Engineering Intern,2025-12-27,Applied,Referral,Remote,No next step yet
A1 Telekom,Working Student AI,2025-12-25,Applied,Company Website,Linz,Check career portal next week
Dedalus,Reporting Analyst,2025-12-20,Applied,LinkedIn,Klagenfurt,Send follow-up email
Bühler,Data Engineering Intern,2025-12-20,Applied,Company Website,Remote,Waiting for recruiter response
Zalando,Reporting Analyst,2025-12-17,Offer,Referral,Vienna,Compare with other applications
Bosch,Machine Learning Intern,2025-12-15,Applied,LinkedIn,Villach,Awaiting response
A1 Telekom,Junior Data Scientist,2025-12-12,Applied,StepStone,Remote,No next step yet
Siemens,Data Analyst,2025-12-06,Applied,Other,Remote,Awaiting response
AVL List,Data Engineering Intern,2025-12-05,Interview,LinkedIn,Klagenfurt,Interview preparation
Andritz,Business Intelligence Analyst,2025-12-03,Interview,Company Website,Klagenfurt,Prepare project examples
SSI Schäfer,Data Analyst,2025-12-03,Applied,LinkedIn,Klagenfurt,No next step yet
TU Graz,Database Engineer BI,2025-12-02,Applied,Indeed,Vienna,Waiting for recruiter response
Adidas,Business Intelligence Analyst,2025-11-30,Offer,Other,Linz,Check contract documents
AVL,Junior Data Scientist,2025-11-27,Phone Screen,StepStone,Graz,Phone call preparation
Erste Group,Python Developer Intern,2025-11-26,Applied,Indeed,Graz,Check career portal next week
Bühler,Analytics Trainee,2025-11-24,Screening,Indeed,Klagenfurt,Waiting for HR feedback
PwC,Junior Data Scientist,2025-11-23,Phone Screen,Indeed,Vienna,Waiting for phone screen feedback
Erste Group,Reporting Analyst,2025-11-20,Applied,LinkedIn,Berlin,No next step yet
Siemens,Research Assistant Data Science,2025-11-19,Applied,LinkedIn,Vienna,Send follow-up email
Mercedes-Benz,Operations Analyst,2025-11-11,Rejected,LinkedIn,Graz,Review rejection reason
Tractive,Analytics Trainee,2025-11-10,Interview,Company Website,Remote,Technical interview scheduled
BearingPoint,Working Student AI,2025-11-09,Applied,StepStone,Vienna,Awaiting response
AVL List,Visualization Developer,2025-11-02,Rejected,Company Website,Munich,No action needed
A1 Telekom,Visualization Developer,2025-11-01,Screening,StepStone,Villach,Waiting for HR feedback
Andritz,Data Analyst,2025-10-28,Interview,LinkedIn,Remote,Follow up after interview
Erste Group,Operations Analyst,2025-10-26,Applied,Company Website,Hybrid - Graz,Check career portal next week
AVL,Product Data Analyst,2025-10-21,Offer,LinkedIn,Vienna,Prepare response
Adidas,Junior Data Scientist,2025-10-15,Applied,Company Website,Villach,Check career portal next week
TU Graz,Working Student AI,2025-10-14,Applied,Company Website,Remote,Awaiting response
Amazon,Reporting Analyst,2025-10-13,Offer,LinkedIn,Linz,Check contract documents
Magna,Visualization Developer,2025-10-09,Offer,LinkedIn,Salzburg,Negotiate start date
OMV,Data Analyst,2025-10-07,Interview,LinkedIn,Linz,Interview preparation
Nuki,Research Assistant Data Science,2025-10-07,Applied,Company Website,Berlin,Check career portal next week
A1 Telekom,Machine Learning Intern,2025-10-06,Phone Screen,LinkedIn,Berlin,Phone call preparation
Tractive,Operations Analyst,2025-10-03,Phone Screen,LinkedIn,Villach,Send documents before call
Borealis,Product Data Analyst,2025-10-03,Phone Screen,Company Website,Vienna,Phone screen next week
